District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),Month,Year
Adilabad,Adilabad Rural,1-Feb-22,0,8.7,36.8,6.8,100,0,65.1,2,2022
Adilabad,Adilabad Rural,2-Feb-22,0,8.6,36.5,8.1,100,0,65.1,2,2022
Adilabad,Adilabad Rural,3-Feb-22,0,11.1,36.6,12.2,100,0,65.1,2,2022
Adilabad,Adilabad Rural,4-Feb-22,0,11.3,36.1,19.8,100,0,65.1,2,2022
Adilabad,Adilabad Rural,5-Feb-22,0,6,34.5,8.4,100,0,65.1,2,2022
Adilabad,Adilabad Rural,6-Feb-22,0,6.7,35.8,9.7,100,0,65.1,2,2022
Adilabad,Adilabad Rural,7-Feb-22,0,9.7,36.9,7.8,100,0,65.1,2,2022
Adilabad,Adilabad Rural,8-Feb-22,0,12.7,36.3,18.8,100,0,65.1,2,2022
Adilabad,Adilabad Rural,9-Feb-22,0,15.4,36.5,23.7,100,0,67.4,2,2022
Adilabad,Adilabad Rural,10-Feb-22,0,14.2,34.6,24.5,100,0,65.1,2,2022
Adilabad,Adilabad Rural,11-Feb-22,0,11.7,34.7,21.9,100,0,65.1,2,2022
Adilabad,Adilabad Rural,12-Feb-22,0,8,36.5,21.6,100,0,65.1,2,2022
Adilabad,Adilabad Rural,13-Feb-22,0,7.3,36.2,13.6,100,0,57.5,2,2022
Adilabad,Adilabad Rural,14-Feb-22,0,8.8,36.4,9.2,100,0,65.1,2,2022
Adilabad,Adilabad Rural,15-Feb-22,0,11.7,36.3,12.5,100,0,65.1,2,2022
Adilabad,Adilabad Rural,16-Feb-22,0,14.3,35.1,18.1,100,0,65.1,2,2022
Adilabad,Adilabad Rural,17-Feb-22,1.8,13.5,36.4,18.2,100,0,65.1,2,2022
Adilabad,Adilabad Rural,18-Feb-22,0,15.5,36.1,15.2,100,0,65.1,2,2022
Adilabad,Adilabad Rural,19-Feb-22,0,12.5,36.5,20.9,100,0,65.1,2,2022
Adilabad,Adilabad Rural,20-Feb-22,0,13.6,37.2,9.1,100,0,63.6,2,2022
Adilabad,Adilabad Rural,21-Feb-22,0,10,37.2,15.5,100,0,65.1,2,2022
Adilabad,Adilabad Rural,22-Feb-22,0,10.2,39.2,7.2,100,0,65.1,2,2022
Adilabad,Adilabad Rural,23-Feb-22,0,11.5,38.7,6.9,100,0,65.1,2,2022
Adilabad,Adilabad Rural,24-Feb-22,0,13.2,37.4,13.2,100,0,65.1,2,2022
Adilabad,Adilabad Rural,25-Feb-22,0,12.2,38.2,7,100,0,65.1,2,2022
Adilabad,Adilabad Rural,26-Feb-22,0,11.4,38.3,5.2,100,0,65.1,2,2022
Adilabad,Adilabad Rural,27-Feb-22,0,11.9,38,7.2,100,0,65.1,2,2022
Adilabad,Adilabad Rural,28-Feb-22,0,12.3,38.7,10.4,100,0,65.1,2,2022
Adilabad,Adilabad Urban,1-Feb-22,0,8.7,36.8,6.8,100,0,65.1,2,2022
Adilabad,Adilabad Urban,2-Feb-22,0,8.6,36.5,8.1,100,0,65.1,2,2022
Adilabad,Adilabad Urban,3-Feb-22,0,11.1,36.6,12.2,100,0,65.1,2,2022
Adilabad,Adilabad Urban,4-Feb-22,0,11.3,36.1,19.8,100,0,65.1,2,2022
Adilabad,Adilabad Urban,5-Feb-22,0,6,34.5,8.4,100,0,65.1,2,2022
Adilabad,Adilabad Urban,6-Feb-22,0,6.7,35.8,9.7,100,0,65.1,2,2022
Adilabad,Adilabad Urban,7-Feb-22,0,9.7,36.9,7.8,100,0,65.1,2,2022
Adilabad,Adilabad Urban,8-Feb-22,0,12.7,36.3,18.8,100,0,65.1,2,2022
Adilabad,Adilabad Urban,9-Feb-22,0,15.4,36.5,23.7,100,0,67.4,2,2022
Adilabad,Adilabad Urban,10-Feb-22,0,14.2,34.6,24.5,100,0,65.1,2,2022
Adilabad,Adilabad Urban,11-Feb-22,0,11.7,34.7,21.9,100,0,65.1,2,2022
Adilabad,Adilabad Urban,12-Feb-22,0,8,36.5,21.6,100,0,65.1,2,2022
Adilabad,Adilabad Urban,13-Feb-22,0,7.3,36.2,13.6,100,0,57.5,2,2022
Adilabad,Adilabad Urban,14-Feb-22,0,8.8,36.4,9.2,100,0,65.1,2,2022
Adilabad,Adilabad Urban,15-Feb-22,0,11.7,36.3,12.5,100,0,65.1,2,2022
Adilabad,Adilabad Urban,16-Feb-22,0,14.3,35.1,18.1,100,0,65.1,2,2022
Adilabad,Adilabad Urban,17-Feb-22,0.4,13.5,36.4,18.2,100,0,65.1,2,2022
Adilabad,Adilabad Urban,18-Feb-22,0,15.5,36.1,15.2,100,0,65.1,2,2022
Adilabad,Adilabad Urban,19-Feb-22,0,12.5,36.5,20.9,100,0,65.1,2,2022
Adilabad,Adilabad Urban,20-Feb-22,0,13.6,37.2,9.1,100,0,63.6,2,2022
Adilabad,Adilabad Urban,21-Feb-22,0,10,37.2,15.5,100,0,65.1,2,2022
Adilabad,Adilabad Urban,22-Feb-22,0,10.2,39.2,7.2,100,0,65.1,2,2022
Adilabad,Adilabad Urban,23-Feb-22,0,11.5,38.7,6.9,100,0,65.1,2,2022
Adilabad,Adilabad Urban,24-Feb-22,0,13.2,37.4,13.2,100,0,65.1,2,2022
Adilabad,Adilabad Urban,25-Feb-22,0,12.2,38.2,7,100,0,65.1,2,2022
Adilabad,Adilabad Urban,26-Feb-22,0,11.4,38.3,5.2,100,0,65.1,2,2022
Adilabad,Adilabad Urban,27-Feb-22,0,11.9,38,7.2,100,0,65.1,2,2022
Adilabad,Adilabad Urban,28-Feb-22,0,12.3,38.7,10.4,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,1-Feb-22,0,8.7,36.8,6.8,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,2-Feb-22,0,8.6,36.5,8.1,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,3-Feb-22,0,11.1,36.6,12.2,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,4-Feb-22,0,11.3,36.1,19.8,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,5-Feb-22,0,6,34.5,8.4,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,6-Feb-22,0,6.7,35.8,9.7,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,7-Feb-22,0,9.7,36.9,7.8,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,8-Feb-22,0,12.7,36.3,18.8,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,9-Feb-22,0,15.4,36.5,23.7,100,0,67.4,2,2022
Adilabad,Bazarhathnoor,10-Feb-22,0,14.2,34.6,24.5,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,11-Feb-22,0,11.7,34.7,21.9,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,12-Feb-22,0,8,36.5,21.6,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,13-Feb-22,0,7.3,36.2,13.6,100,0,57.5,2,2022
Adilabad,Bazarhathnoor,14-Feb-22,0,8.8,36.4,9.2,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,15-Feb-22,0,11.7,36.3,12.5,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,16-Feb-22,0,14.3,35.1,18.1,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,17-Feb-22,1.2,13.5,36.4,18.2,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,18-Feb-22,0,15.5,36.1,15.2,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,19-Feb-22,0,12.5,36.5,20.9,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,20-Feb-22,0,13.6,37.2,9.1,100,0,63.6,2,2022
Adilabad,Bazarhathnoor,21-Feb-22,0,10,37.2,15.5,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,22-Feb-22,0,10.2,39.2,7.2,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,23-Feb-22,0,11.5,38.7,6.9,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,24-Feb-22,0,13.2,37.4,13.2,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,25-Feb-22,0,12.2,38.2,7,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,26-Feb-22,0,11.4,38.3,5.2,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,27-Feb-22,0,11.9,38,7.2,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,28-Feb-22,0,12.3,38.7,10.4,100,0,65.1,2,2022
Adilabad,Bela,1-Feb-22,0,8.7,36.8,6.8,100,0,65.1,2,2022
Adilabad,Bela,2-Feb-22,0,8.6,36.5,8.1,100,0,65.1,2,2022
Adilabad,Bela,3-Feb-22,0,11.1,36.6,12.2,100,0,65.1,2,2022
Adilabad,Bela,4-Feb-22,0,11.3,36.1,19.8,100,0,65.1,2,2022
Adilabad,Bela,5-Feb-22,0,6,34.5,8.4,100,0,65.1,2,2022
Adilabad,Bela,6-Feb-22,0,6.7,35.8,9.7,100,0,65.1,2,2022
Adilabad,Bela,7-Feb-22,0,9.7,36.9,7.8,100,0,65.1,2,2022
Adilabad,Bela,8-Feb-22,0,12.7,36.3,18.8,100,0,65.1,2,2022
Adilabad,Bela,9-Feb-22,0,15.4,36.5,23.7,100,0,67.4,2,2022
Adilabad,Bela,10-Feb-22,0,14.2,34.6,24.5,100,0,65.1,2,2022
Adilabad,Bela,11-Feb-22,0,11.7,34.7,21.9,100,0,65.1,2,2022
Adilabad,Bela,12-Feb-22,0,8,36.5,21.6,100,0,65.1,2,2022
Adilabad,Bela,13-Feb-22,0,7.3,36.2,13.6,100,0,57.5,2,2022
Adilabad,Bela,14-Feb-22,0,8.8,36.4,9.2,100,0,65.1,2,2022
Adilabad,Bela,15-Feb-22,0,11.7,36.3,12.5,100,0,65.1,2,2022
Adilabad,Bela,16-Feb-22,0,14.3,35.1,18.1,100,0,65.1,2,2022
Adilabad,Bela,17-Feb-22,0,13.5,36.4,18.2,100,0,65.1,2,2022
Adilabad,Bela,18-Feb-22,0,15.5,36.1,15.2,100,0,65.1,2,2022
Adilabad,Bela,19-Feb-22,0,12.5,36.5,20.9,100,0,65.1,2,2022
Adilabad,Bela,20-Feb-22,0,13.6,37.2,9.1,100,0,63.6,2,2022
Adilabad,Bela,21-Feb-22,0,10,37.2,15.5,100,0,65.1,2,2022
Adilabad,Bela,22-Feb-22,0,10.2,39.2,7.2,100,0,65.1,2,2022
Adilabad,Bela,23-Feb-22,0,11.5,38.7,6.9,100,0,65.1,2,2022
Adilabad,Bela,24-Feb-22,0,13.2,37.4,13.2,100,0,65.1,2,2022
Adilabad,Bela,25-Feb-22,0,12.2,38.2,7,100,0,65.1,2,2022
Adilabad,Bela,26-Feb-22,0,11.4,38.3,5.2,100,0,65.1,2,2022
Adilabad,Bela,27-Feb-22,0,11.9,38,7.2,100,0,65.1,2,2022
Adilabad,Bela,28-Feb-22,0,12.3,38.7,10.4,100,0,65.1,2,2022
Adilabad,Bheempoor,1-Feb-22,0,8.7,36.8,6.8,100,0,65.1,2,2022
Adilabad,Bheempoor,2-Feb-22,0,8.6,36.5,8.1,100,0,65.1,2,2022
Adilabad,Bheempoor,3-Feb-22,0,11.1,36.6,12.2,100,0,65.1,2,2022
Adilabad,Bheempoor,4-Feb-22,0,11.3,36.1,19.8,100,0,65.1,2,2022
Adilabad,Bheempoor,5-Feb-22,0,6,34.5,8.4,100,0,65.1,2,2022
Adilabad,Bheempoor,6-Feb-22,0,6.7,35.8,9.7,100,0,65.1,2,2022
Adilabad,Bheempoor,7-Feb-22,0,9.7,36.9,7.8,100,0,65.1,2,2022
Adilabad,Bheempoor,8-Feb-22,0,12.7,36.3,18.8,100,0,65.1,2,2022
Adilabad,Bheempoor,9-Feb-22,0,15.4,36.5,23.7,100,0,67.4,2,2022
Adilabad,Bheempoor,10-Feb-22,0,14.2,34.6,24.5,100,0,65.1,2,2022
Adilabad,Bheempoor,11-Feb-22,0,11.7,34.7,21.9,100,0,65.1,2,2022
Adilabad,Bheempoor,12-Feb-22,0,8,36.5,21.6,100,0,65.1,2,2022
Adilabad,Bheempoor,13-Feb-22,0,7.3,36.2,13.6,100,0,57.5,2,2022
Adilabad,Bheempoor,14-Feb-22,0,8.8,36.4,9.2,100,0,65.1,2,2022
Adilabad,Bheempoor,15-Feb-22,0,11.7,36.3,12.5,100,0,65.1,2,2022
Adilabad,Bheempoor,16-Feb-22,0,14.3,35.1,18.1,100,0,65.1,2,2022
Adilabad,Bheempoor,17-Feb-22,1.3,13.5,36.4,18.2,100,0,65.1,2,2022
Adilabad,Bheempoor,18-Feb-22,0,15.5,36.1,15.2,100,0,65.1,2,2022
Adilabad,Bheempoor,19-Feb-22,0,12.5,36.5,20.9,100,0,65.1,2,2022
Adilabad,Bheempoor,20-Feb-22,0,13.6,37.2,9.1,100,0,63.6,2,2022
Adilabad,Bheempoor,21-Feb-22,0,10,37.2,15.5,100,0,65.1,2,2022
Adilabad,Bheempoor,22-Feb-22,0,10.2,39.2,7.2,100,0,65.1,2,2022
Adilabad,Bheempoor,23-Feb-22,0,11.5,38.7,6.9,100,0,65.1,2,2022
Adilabad,Bheempoor,24-Feb-22,0,13.2,37.4,13.2,100,0,65.1,2,2022
Adilabad,Bheempoor,25-Feb-22,0,12.2,38.2,7,100,0,65.1,2,2022
Adilabad,Bheempoor,26-Feb-22,0,11.4,38.3,5.2,100,0,65.1,2,2022
Adilabad,Bheempoor,27-Feb-22,0,11.9,38,7.2,100,0,65.1,2,2022
Adilabad,Bheempoor,28-Feb-22,0,12.3,38.7,10.4,100,0,65.1,2,2022
Adilabad,Boath,1-Feb-22,0,8.7,36.8,6.8,100,0,65.1,2,2022
Adilabad,Boath,2-Feb-22,0,8.6,36.5,8.1,100,0,65.1,2,2022
Adilabad,Boath,3-Feb-22,0,11.1,36.6,12.2,100,0,65.1,2,2022
Adilabad,Boath,4-Feb-22,0,11.3,36.1,19.8,100,0,65.1,2,2022
Adilabad,Boath,5-Feb-22,0,6,34.5,8.4,100,0,65.1,2,2022
Adilabad,Boath,6-Feb-22,0,6.7,35.8,9.7,100,0,65.1,2,2022
Adilabad,Boath,7-Feb-22,0,9.7,36.9,7.8,100,0,65.1,2,2022
Adilabad,Boath,8-Feb-22,0,12.7,36.3,18.8,100,0,65.1,2,2022
Adilabad,Boath,9-Feb-22,0,15.4,36.5,23.7,100,0,67.4,2,2022
Adilabad,Boath,10-Feb-22,0,14.2,34.6,24.5,100,0,65.1,2,2022
Adilabad,Boath,11-Feb-22,0,11.7,34.7,21.9,100,0,65.1,2,2022
Adilabad,Boath,12-Feb-22,0,8,36.5,21.6,100,0,65.1,2,2022
Adilabad,Boath,13-Feb-22,0,7.3,36.2,13.6,100,0,57.5,2,2022
Adilabad,Boath,14-Feb-22,0,8.8,36.4,9.2,100,0,65.1,2,2022
Adilabad,Boath,15-Feb-22,0,11.7,36.3,12.5,100,0,65.1,2,2022
Adilabad,Boath,16-Feb-22,0,14.3,35.1,18.1,100,0,65.1,2,2022
Adilabad,Boath,17-Feb-22,0,13.5,36.4,18.2,100,0,65.1,2,2022
Adilabad,Boath,18-Feb-22,0,15.5,36.1,15.2,100,0,65.1,2,2022
Adilabad,Boath,19-Feb-22,0,12.5,36.5,20.9,100,0,65.1,2,2022
Adilabad,Boath,20-Feb-22,0,13.6,37.2,9.1,100,0,63.6,2,2022
Adilabad,Boath,21-Feb-22,0,10,37.2,15.5,100,0,65.1,2,2022
Adilabad,Boath,22-Feb-22,0,10.2,39.2,7.2,100,0,65.1,2,2022
Adilabad,Boath,23-Feb-22,0,11.5,38.7,6.9,100,0,65.1,2,2022
Adilabad,Boath,24-Feb-22,0,13.2,37.4,13.2,100,0,65.1,2,2022
Adilabad,Boath,25-Feb-22,0,12.2,38.2,7,100,0,65.1,2,2022
Adilabad,Boath,26-Feb-22,0,11.4,38.3,5.2,100,0,65.1,2,2022
Adilabad,Boath,27-Feb-22,0,11.9,38,7.2,100,0,65.1,2,2022
Adilabad,Boath,28-Feb-22,0,12.3,38.7,10.4,100,0,65.1,2,2022
Adilabad,Gadiguda,1-Feb-22,0,8.7,36.8,6.8,100,0,65.1,2,2022
Adilabad,Gadiguda,2-Feb-22,0,8.6,36.5,8.1,100,0,65.1,2,2022
Adilabad,Gadiguda,3-Feb-22,0,11.1,36.6,12.2,100,0,65.1,2,2022
Adilabad,Gadiguda,4-Feb-22,0,11.3,36.1,19.8,100,0,65.1,2,2022
Adilabad,Gadiguda,5-Feb-22,0,6,34.5,8.4,100,0,65.1,2,2022
Adilabad,Gadiguda,6-Feb-22,0,6.7,35.8,9.7,100,0,65.1,2,2022
Adilabad,Gadiguda,7-Feb-22,0,9.7,36.9,7.8,100,0,65.1,2,2022
Adilabad,Gadiguda,8-Feb-22,0,12.7,36.3,18.8,100,0,65.1,2,2022
Adilabad,Gadiguda,9-Feb-22,0,15.4,36.5,23.7,100,0,67.4,2,2022
