District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),Month,Year
Adilabad,Adilabad Rural,1-Jun-22,0,32.3,42.2,27,62.7,0.3,12.9,6,2022
Adilabad,Adilabad Rural,2-Jun-22,0,30,43,24.6,62.4,0,12.7,6,2022
Adilabad,Adilabad Rural,3-Jun-22,0,33.6,44.5,19.3,55.4,0,15,6,2022
Adilabad,Adilabad Rural,4-Jun-22,0.5,34.1,44.6,22.4,46.8,0,14.8,6,2022
Adilabad,Adilabad Rural,5-Jun-22,0,32.3,40.8,25.1,50.2,0,16.8,6,2022
Adilabad,Adilabad Rural,6-Jun-22,0,31.9,37.2,29.7,54.8,0,10.7,6,2022
Adilabad,Adilabad Rural,7-Jun-22,0,32.1,42.8,31.7,55.6,0,15,6,2022
Adilabad,Adilabad Rural,8-Jun-22,0,32.6,44.6,29.3,56.4,2.2,14.6,6,2022
Adilabad,Adilabad Rural,9-Jun-22,0,29.6,44.9,20.3,73.6,0.6,16.3,6,2022
Adilabad,Adilabad Rural,10-Jun-22,0,30.5,42.2,30.1,70.4,0,12.7,6,2022
Adilabad,Adilabad Rural,11-Jun-22,3,28.4,42.7,27.6,83.7,0.7,13.9,6,2022
Adilabad,Adilabad Rural,12-Jun-22,33.8,27,41.3,41.3,98.3,0,12.7,6,2022
Adilabad,Adilabad Rural,13-Jun-22,0,28.1,35.3,66.8,77.5,0,5.9,6,2022
Adilabad,Adilabad Rural,14-Jun-22,24.8,27.1,40.1,39.8,90.4,0.1,10.5,6,2022
Adilabad,Adilabad Rural,15-Jun-22,0,25.4,36.5,50.7,89.3,0,3,6,2022
Adilabad,Adilabad Rural,16-Jun-22,13.3,23.2,36.7,48.7,97.2,0,11.7,6,2022
Adilabad,Adilabad Rural,17-Jun-22,2.3,24.8,33.7,59.6,91.2,0,11.2,6,2022
Adilabad,Adilabad Rural,18-Jun-22,0,27.2,35.9,54.4,86.2,0,13.3,6,2022
Adilabad,Adilabad Rural,19-Jun-22,0,27.5,37,47.6,79.4,0,15,6,2022
Adilabad,Adilabad Rural,20-Jun-22,1.8,25.6,33.4,61.7,91,0.5,14.6,6,2022
Adilabad,Adilabad Rural,21-Jun-22,18.8,23.8,34.3,56.5,97.2,0,10.4,6,2022
Adilabad,Adilabad Rural,22-Jun-22,8,23.8,33.5,60.6,96.7,0,10.8,6,2022
Adilabad,Adilabad Rural,23-Jun-22,0,24.7,34.3,57.5,94.6,0,8.9,6,2022
Adilabad,Adilabad Rural,24-Jun-22,7,24.3,35.3,53.4,98.8,0,18.5,6,2022
Adilabad,Adilabad Rural,25-Jun-22,22.5,23,32.7,66.2,98.8,0,14.9,6,2022
Adilabad,Adilabad Rural,26-Jun-22,1,24.6,32.9,70.2,91.6,0,10.5,6,2022
Adilabad,Adilabad Rural,27-Jun-22,0,25.5,31.4,70.2,89.6,0,11.2,6,2022
Adilabad,Adilabad Rural,28-Jun-22,0,25.2,34.9,56,86.6,2.8,10.5,6,2022
Adilabad,Adilabad Rural,29-Jun-22,0,25.9,34,59.1,84.7,0,11.4,6,2022
Adilabad,Adilabad Rural,30-Jun-22,0,26.5,35.2,52.4,88.1,0,9.6,6,2022
Adilabad,Adilabad Urban,1-Jun-22,0,31,42.5,29.1,55.4,0,6.2,6,2022
Adilabad,Adilabad Urban,2-Jun-22,2.9,27,42.6,23.9,70.4,0,9.7,6,2022
Adilabad,Adilabad Urban,3-Jun-22,0,32.2,45.3,17.9,47.2,0,10.1,6,2022
Adilabad,Adilabad Urban,4-Jun-22,0,32.4,45,19.2,39.7,0,65.1,6,2022
