District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),Month,Year
Adilabad,Adilabad Rural,1-Mar-22,0,18.2,35.5,25.4,64.2,0,11.4,3,2022
Adilabad,Adilabad Rural,2-Mar-22,0,18.8,36.8,24.3,63.7,0,12.5,3,2022
Adilabad,Adilabad Rural,3-Mar-22,0,18.8,35.7,26.1,71.5,0,8.5,3,2022
Adilabad,Adilabad Rural,4-Mar-22,0,18.3,37.3,25,79.4,0,11.8,3,2022
Adilabad,Adilabad Rural,5-Mar-22,0,18.9,36.5,27.5,75.7,0,8,3,2022
Adilabad,Adilabad Rural,6-Mar-22,0,19.7,35.8,31.2,72.9,0,6.7,3,2022
Adilabad,Adilabad Rural,7-Mar-22,0,19.2,35,28.1,78.5,0,14.1,3,2022
Adilabad,Adilabad Rural,8-Mar-22,0,19.2,35.3,27.5,73.4,0,11.9,3,2022
Adilabad,Adilabad Rural,9-Mar-22,0,17.1,36.6,29.8,71.1,0,7.3,3,2022
Adilabad,Adilabad Rural,10-Mar-22,0,17.8,36,26.3,68.3,0,13,3,2022
Adilabad,Adilabad Rural,11-Mar-22,0,20,36,27.5,63.7,0,8.1,3,2022
Adilabad,Adilabad Rural,12-Mar-22,0,20.4,35.7,27.7,69.3,0,8.6,3,2022
Adilabad,Adilabad Rural,13-Mar-22,0,17.9,34.3,29.5,69.2,0,14.6,3,2022
Adilabad,Adilabad Rural,14-Mar-22,0,17.5,37,22.2,56.3,0,13.1,3,2022
Adilabad,Adilabad Rural,15-Mar-22,0,19.2,37.4,18.7,51.5,0,11.1,3,2022
Adilabad,Adilabad Rural,16-Mar-22,0,20.9,38,20.8,51.8,0,8.9,3,2022
Adilabad,Adilabad Rural,17-Mar-22,0,20.5,39.3,19.6,50.8,0,14.9,3,2022
Adilabad,Adilabad Rural,18-Mar-22,0,21.3,40.2,16.9,47.5,0,13,3,2022
Adilabad,Adilabad Rural,19-Mar-22,0,26.4,39,19.6,62.2,0.9,14.7,3,2022
Adilabad,Adilabad Rural,20-Mar-22,0,28,38.1,29.1,64.7,0,15.5,3,2022
Adilabad,Adilabad Rural,21-Mar-22,0,23.4,37.9,30.5,63.1,0,9.6,3,2022
Adilabad,Adilabad Rural,22-Mar-22,0,23.4,37.9,26.3,72.2,0,12.7,3,2022
Adilabad,Adilabad Rural,23-Mar-22,0,21.3,38.8,19.6,53,0,15.1,3,2022
Adilabad,Adilabad Rural,24-Mar-22,0,25.3,39.2,17.5,78,0,14.4,3,2022
Adilabad,Adilabad Rural,25-Mar-22,0,26.8,39,29.4,76.1,2.3,19.9,3,2022
Adilabad,Adilabad Rural,26-Mar-22,0,28,39.3,31.4,69.1,0.1,16.4,3,2022
Adilabad,Adilabad Rural,27-Mar-22,0,25.6,37.4,29.1,81.8,0,10.4,3,2022
Adilabad,Adilabad Rural,28-Mar-22,0,23.3,39.7,19.6,78.3,0,11,3,2022
Adilabad,Adilabad Rural,29-Mar-22,0,23.2,41.8,19.1,66.1,0,13.3,3,2022
Adilabad,Adilabad Rural,30-Mar-22,0,21.9,41.7,17,43.1,0,11.4,3,2022
Adilabad,Adilabad Rural,31-Mar-22,0,21.7,42.8,15.7,41.2,0,12.3,3,2022
Adilabad,Adilabad Urban,1-Mar-22,0,18.6,35.4,15.1,69.6,0,3.7,3,2022
Adilabad,Adilabad Urban,2-Mar-22,0,16.7,36.2,15.2,80.8,0,0.9,3,2022
Adilabad,Adilabad Urban,3-Mar-22,0,17.5,36.6,13.9,84.6,0,4,3,2022
Adilabad,Adilabad Urban,4-Mar-22,0,18.3,37.7,15.9,86,0,2.5,3,2022
Adilabad,Adilabad Urban,5-Mar-22,0,18.5,36.3,18.6,84.5,0,1.3,3,2022
Adilabad,Adilabad Urban,6-Mar-22,0,19.3,35.8,19.7,83.3,0,1.5,3,2022
Adilabad,Adilabad Urban,7-Mar-22,0,18.3,37.1,17.1,86.5,0,3.8,3,2022
Adilabad,Adilabad Urban,8-Mar-22,0,17.2,36.5,19.7,91.6,0,1.2,3,2022
Adilabad,Adilabad Urban,9-Mar-22,0,16.6,37.9,17.7,81.3,0,1.9,3,2022
Adilabad,Adilabad Urban,10-Mar-22,0,17.6,36.3,15.2,78.1,0,1.5,3,2022
Adilabad,Adilabad Urban,11-Mar-22,0,18.6,37.3,16.4,76.5,0,2.7,3,2022
Adilabad,Adilabad Urban,12-Mar-22,0,19.9,36.5,16.6,75,0,1.9,3,2022
Adilabad,Adilabad Urban,13-Mar-22,0,17.6,37,17.7,80.7,0,3.8,3,2022
Adilabad,Adilabad Urban,14-Mar-22,0,15.6,38.6,13.9,74.3,0,4.7,3,2022
Adilabad,Adilabad Urban,15-Mar-22,0,16.1,39.6,11.9,75.8,0,0.7,3,2022
Adilabad,Adilabad Urban,16-Mar-22,0,19,41.1,12.6,65.8,0,3.7,3,2022
Adilabad,Adilabad Urban,17-Mar-22,0,17.9,42.1,12,69.6,0,3,3,2022
Adilabad,Adilabad Urban,18-Mar-22,0,20.1,42.7,11.3,59.6,0,5.5,3,2022
Adilabad,Adilabad Urban,19-Mar-22,0,25.3,41.4,12,74.2,0,4.5,3,2022
Adilabad,Adilabad Urban,20-Mar-22,0,25.5,39.7,17.4,76.8,0,1.6,3,2022
Adilabad,Adilabad Urban,21-Mar-22,0,21.3,39.4,16,76.4,0,4.1,3,2022
Adilabad,Adilabad Urban,22-Mar-22,0,21.7,40.7,18.1,64.6,0,4,3,2022
Adilabad,Adilabad Urban,23-Mar-22,0,19.1,41.1,13.4,66.9,0,3.6,3,2022
Adilabad,Adilabad Urban,24-Mar-22,0,23.3,40.9,12,72.2,0,3.9,3,2022
Adilabad,Adilabad Urban,25-Mar-22,0,27.2,39.3,26.9,77.4,0,7.1,3,2022
Adilabad,Adilabad Urban,26-Mar-22,0,28.3,40.3,24.9,69.8,0,8,3,2022
Adilabad,Adilabad Urban,27-Mar-22,0,24.2,39.3,25.5,91.4,0,2.4,3,2022
Adilabad,Adilabad Urban,28-Mar-22,0,21.1,42,14.9,73,0,4.8,3,2022
Adilabad,Adilabad Urban,29-Mar-22,0,21.4,41.9,14.4,72.4,0,2.3,3,2022
Adilabad,Adilabad Urban,30-Mar-22,0,20.2,43.2,13.4,52.3,0,4.1,3,2022
Adilabad,Adilabad Urban,31-Mar-22,0,19.8,43.3,12.4,56.1,0,3,3,2022
Adilabad,Bazarhathnoor,1-Mar-22,0,14.3,32.6,27.3,82.6,0,3.3,3,2022
Adilabad,Bazarhathnoor,2-Mar-22,0,14.6,34.1,28.3,80.3,0,3.3,3,2022
Adilabad,Bazarhathnoor,3-Mar-22,0,16.3,34.8,27.6,83.2,0,2.9,3,2022
Adilabad,Bazarhathnoor,4-Mar-22,0,17.6,35.1,26.9,84.1,0,2.9,3,2022
Adilabad,Bazarhathnoor,5-Mar-22,0,16.4,32.8,35.3,83.2,0,3.3,3,2022
Adilabad,Bazarhathnoor,6-Mar-22,0,18.9,32.9,42.7,67.6,0,4.4,3,2022
Adilabad,Bazarhathnoor,7-Mar-22,0,15.7,33.3,29.9,88.7,0,3.9,3,2022
Adilabad,Bazarhathnoor,8-Mar-22,0,18.1,33.1,33.4,75.1,0,4.2,3,2022
Adilabad,Bazarhathnoor,9-Mar-22,0,18.5,33.1,36.4,70.1,0,3.4,3,2022
Adilabad,Bazarhathnoor,10-Mar-22,0,19.8,33.9,24.9,65.6,0,5.7,3,2022
Adilabad,Bazarhathnoor,11-Mar-22,0,17.2,32.8,30,77.3,0,6,3,2022
Adilabad,Bazarhathnoor,12-Mar-22,0,18.9,32.9,35.3,78.8,0,2.6,3,2022
Adilabad,Bazarhathnoor,13-Mar-22,0,16.9,32.8,33.4,76,0,3,3,2022
Adilabad,Bazarhathnoor,14-Mar-22,0,13.8,34.5,26.6,72.2,0,4.5,3,2022
Adilabad,Bazarhathnoor,15-Mar-22,0,14.4,35.1,18.1,74,0,3.8,3,2022
Adilabad,Bazarhathnoor,16-Mar-22,0,16.6,35.4,24.2,75.9,0,4.3,3,2022
Adilabad,Bazarhathnoor,17-Mar-22,0,16.5,36.5,21.7,71.1,0.1,5.7,3,2022
Adilabad,Bazarhathnoor,18-Mar-22,0,17.8,37.7,20.3,49.6,0,8.6,3,2022
Adilabad,Bazarhathnoor,19-Mar-22,0,21,37.2,21.7,85,0,5.8,3,2022
Adilabad,Bazarhathnoor,20-Mar-22,0,21,35.2,36.2,85.9,0,6.6,3,2022
Adilabad,Bazarhathnoor,21-Mar-22,0,19.9,36.2,25.6,80.2,0,2.2,3,2022
Adilabad,Bazarhathnoor,22-Mar-22,0,20,36.6,30.3,69.2,0,2.6,3,2022
Adilabad,Bazarhathnoor,23-Mar-22,0,18.7,36.2,26.9,64.3,0,2.8,3,2022
Adilabad,Bazarhathnoor,24-Mar-22,0,21,37.3,21,69.4,0,1.8,3,2022
Adilabad,Bazarhathnoor,25-Mar-22,0,23.5,35.5,33,86.2,0.1,2.5,3,2022
Adilabad,Bazarhathnoor,26-Mar-22,0,25.1,33.7,38.7,78.2,0.1,9.4,3,2022
