District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),Month,Year
Adilabad,Adilabad Rural,1-May-22,0,26.8,44.5,17.2,38.6,0,10,5,2022
Adilabad,Adilabad Rural,2-May-22,0,30,44.3,18.6,57.6,0,11.4,5,2022
Adilabad,Adilabad Rural,3-May-22,0,30,43.7,22.2,42.8,0.2,11.4,5,2022
Adilabad,Adilabad Rural,4-May-22,1,25.6,42.5,24.1,72.3,0.8,19.6,5,2022
Adilabad,Adilabad Rural,5-May-22,0,29.6,40.3,28.7,58.7,0.4,13.3,5,2022
Adilabad,Adilabad Rural,6-May-22,0,29.5,43.2,20.5,60.7,0,11.7,5,2022
Adilabad,Adilabad Rural,7-May-22,0,28.7,42.9,19.1,59.2,0,18.2,5,2022
Adilabad,Adilabad Rural,8-May-22,0,29.5,42.8,25.9,53.6,0,11.4,5,2022
Adilabad,Adilabad Rural,9-May-22,0,28.7,41.4,22.4,53.1,0,9.6,5,2022
Adilabad,Adilabad Rural,10-May-22,0,27.1,41.7,20.3,50.6,0,16.3,5,2022
Adilabad,Adilabad Rural,11-May-22,0,30.1,42,21.2,54,0.7,21.4,5,2022
Adilabad,Adilabad Rural,12-May-22,0,30.4,39.2,32.9,61.7,1.5,20.5,5,2022
Adilabad,Adilabad Rural,13-May-22,26.3,24.1,41,32.1,91.6,0,18.2,5,2022
Adilabad,Adilabad Rural,14-May-22,0,31,41.4,37.1,62.7,0,18.9,5,2022
Adilabad,Adilabad Rural,15-May-22,0,30.7,43.7,25.7,54.6,0.7,17.1,5,2022
Adilabad,Adilabad Rural,16-May-22,0,27.9,43.7,27.1,65.7,0.3,17.1,5,2022
Adilabad,Adilabad Rural,17-May-22,0,30.1,36.9,38.2,62.7,0.7,13.6,5,2022
Adilabad,Adilabad Rural,18-May-22,0,31.3,41,25.4,59.6,0,14.9,5,2022
Adilabad,Adilabad Rural,19-May-22,0,27.3,40.6,30.8,69.6,1.5,22.3,5,2022
Adilabad,Adilabad Rural,20-May-22,0,28.2,39.3,39.7,73.9,0,16.7,5,2022
Adilabad,Adilabad Rural,21-May-22,0,29.6,40.6,39.7,60.2,0,10.4,5,2022
Adilabad,Adilabad Rural,22-May-22,0,29.1,40.7,28,52.1,0,15.2,5,2022
Adilabad,Adilabad Rural,23-May-22,0,29.8,40.6,23.6,52.6,0,14.5,5,2022
Adilabad,Adilabad Rural,24-May-22,0,28.3,40.5,30.8,54.1,0,12.1,5,2022
Adilabad,Adilabad Rural,25-May-22,0,27.3,40.1,35,59.2,0,14.4,5,2022
Adilabad,Adilabad Rural,26-May-22,11.5,25.2,41.8,36.5,75.5,0.8,14.5,5,2022
Adilabad,Adilabad Rural,27-May-22,1.5,26.3,40.7,35,71.1,0,16,5,2022
Adilabad,Adilabad Rural,28-May-22,0,26.7,39.6,32.1,59.7,0,11.2,5,2022
Adilabad,Adilabad Rural,29-May-22,0,30,40.9,26.6,62.6,0,12.9,5,2022
Adilabad,Adilabad Rural,30-May-22,0,31.8,43.4,23.7,47.6,0,15.4,5,2022
Adilabad,Adilabad Rural,31-May-22,0,32.5,43.4,24.9,57.2,0,14.9,5,2022
Adilabad,Adilabad Urban,1-May-22,0,27.9,45.2,13.9,35.9,0,7.8,5,2022
Adilabad,Adilabad Urban,2-May-22,0,29.3,45.3,14.5,61.3,0,4.5,5,2022
Adilabad,Adilabad Urban,3-May-22,0,29.9,44.3,18.4,42,0,3.9,5,2022
Adilabad,Adilabad Urban,4-May-22,1.8,24.9,43.3,20.5,79.7,0,7,5,2022
Adilabad,Adilabad Urban,5-May-22,0,28.9,41,24.2,63.6,0,6.8,5,2022
Adilabad,Adilabad Urban,6-May-22,0,27.7,43,15.7,59,0,13.6,5,2022
Adilabad,Adilabad Urban,7-May-22,0,28.7,44.4,15.7,60.3,0,10.2,5,2022
Adilabad,Adilabad Urban,8-May-22,0,26.4,43.4,20.5,57.8,0,8.8,5,2022
Adilabad,Adilabad Urban,9-May-22,0,28.1,42.7,18.7,56.4,0,8.1,5,2022
Adilabad,Adilabad Urban,10-May-22,0,25.6,43.6,15.7,61.5,0,7.3,5,2022
Adilabad,Adilabad Urban,11-May-22,0,28.8,43.9,16.4,56.9,0,65.1,5,2022
Adilabad,Adilabad Urban,12-May-22,0,31.2,41.4,27.4,59.7,0,10.7,5,2022
Adilabad,Adilabad Urban,13-May-22,18.8,23.8,42.4,27.8,93.5,0,15.7,5,2022
Adilabad,Adilabad Urban,14-May-22,0,31.6,41.8,35.1,63.2,0,65.1,5,2022
Adilabad,Adilabad Urban,15-May-22,0,31.5,44.8,21.8,52.2,0,4.1,5,2022
Adilabad,Adilabad Urban,16-May-22,0.6,29.2,44.3,23.8,62.7,0,8.6,5,2022
Adilabad,Adilabad Urban,17-May-22,0,30.2,39.9,29.5,65.6,0,10.1,5,2022
Adilabad,Adilabad Urban,18-May-22,0,31.9,42.6,23.3,58.7,0,4.9,5,2022
Adilabad,Adilabad Urban,19-May-22,0,26.4,41.3,23.5,71.8,0,6.3,5,2022
Adilabad,Adilabad Urban,20-May-22,0,26.6,39.4,40,75.4,0,5.7,5,2022
Adilabad,Adilabad Urban,21-May-22,0,29.6,40.3,35.5,63.3,0,10.4,5,2022
Adilabad,Adilabad Urban,22-May-22,0,27.5,42.7,24.2,55.9,0,14.7,5,2022
Adilabad,Adilabad Urban,23-May-22,0,29.9,41.9,20,50.1,0,15.7,5,2022
Adilabad,Adilabad Urban,24-May-22,0,29,42,25.5,56.2,0,6.9,5,2022
Adilabad,Adilabad Urban,25-May-22,0,27.8,42.4,30.2,61.7,0,6,5,2022
Adilabad,Adilabad Urban,26-May-22,2.9,25.2,41.1,26.1,78.8,0,4,5,2022
Adilabad,Adilabad Urban,27-May-22,4,24.7,42.4,26.9,85.2,0,7.9,5,2022
Adilabad,Adilabad Urban,28-May-22,0.5,26.9,41.2,28.2,57.6,0,6.6,5,2022
