District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),Month,Year
Adilabad,Adilabad Rural,1-Sep-22,0,26.1,33.2,67.3,93.4,0,7.8,9,2022
Adilabad,Adilabad Rural,2-Sep-22,2.8,24.1,34.9,60.1,99.9,0,7.4,9,2022
Adilabad,Adilabad Rural,3-Sep-22,0,24.4,36.6,54.4,97.2,0,11.4,9,2022
Adilabad,Adilabad Rural,4-Sep-22,73.3,21.9,38.4,51.5,99.9,0,10.2,9,2022
Adilabad,Adilabad Rural,5-Sep-22,0,23.1,27.8,86.6,99.9,0,8.4,9,2022
Adilabad,Adilabad Rural,6-Sep-22,0,22.7,31.6,71,100,0,8.5,9,2022
Adilabad,Adilabad Rural,7-Sep-22,0,24.1,34.7,57.5,99.9,0,7.7,9,2022
Adilabad,Adilabad Rural,8-Sep-22,0.8,24.2,32.1,85.4,99.9,0,5.3,9,2022
Adilabad,Adilabad Rural,9-Sep-22,37.8,22.9,32.5,78.8,100,0,8.9,9,2022
Adilabad,Adilabad Rural,10-Sep-22,0,23.9,32,74,100,0,14.1,9,2022
Adilabad,Adilabad Rural,11-Sep-22,11.5,23.5,32,71.6,100,0,12.1,9,2022
Adilabad,Adilabad Rural,12-Sep-22,64.3,23.6,25.5,95.6,100,0,7.3,9,2022
Adilabad,Adilabad Rural,13-Sep-22,4.3,23.8,27,89.6,100,0,8.5,9,2022
Adilabad,Adilabad Rural,14-Sep-22,0,24.5,32.8,70.6,92.5,4.2,13.7,9,2022
Adilabad,Adilabad Rural,15-Sep-22,0,24.1,32.4,67.8,90.7,2.4,13.3,9,2022
Adilabad,Adilabad Rural,16-Sep-22,0,24.2,32.4,68.2,88.8,0.9,13,9,2022
Adilabad,Adilabad Rural,17-Sep-22,0,23.4,32.2,68.2,94,0,9.1,9,2022
Adilabad,Adilabad Rural,18-Sep-22,2,22.6,31.2,71.1,96.9,0,7.6,9,2022
Adilabad,Adilabad Rural,19-Sep-22,4.3,23.9,32.8,64.7,99.3,0,8.5,9,2022
Adilabad,Adilabad Rural,20-Sep-22,0.8,23.5,32.7,70.6,97.8,0,9.4,9,2022
Adilabad,Adilabad Rural,21-Sep-22,0,24.2,32,72.1,97.8,0,9.4,9,2022
Adilabad,Adilabad Rural,22-Sep-22,3.5,24.1,29.9,80.5,99.3,0,9,9,2022
Adilabad,Adilabad Rural,23-Sep-22,0,23.2,30,76.7,98.3,0,9,9,2022
Adilabad,Adilabad Rural,24-Sep-22,0,21.1,32.7,62.2,99.9,0,9.8,9,2022
Adilabad,Adilabad Rural,25-Sep-22,0,22.2,31.9,60.7,99.9,0,8.8,9,2022
Adilabad,Adilabad Rural,26-Sep-22,0,22.6,32.7,62.2,100,0,9.4,9,2022
