District,Mandal,Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),humidity_max (%),wind_speed_max (Kmph),wind_speed_min (Kmph),Month,Year
Adilabad,Bheempoor,01-01-2020,6.8,16.4,25.8,62.2,96.2,3.2,0,1,2020
Adilabad,Bheempoor,02-01-2020,0,17.1,27.7,65.4,94.8,2.1,0,1,2020
Adilabad,Bheempoor,03-01-2020,25.8,16.9,22.2,85.6,96.9,1.1,0,1,2020
Adilabad,Bheempoor,04-01-2020,0,15.1,23,79.5,98.3,1.4,0,1,2020
Adilabad,Bheempoor,05-01-2020,0,13.2,25.7,63.5,98.2,0.7,0,1,2020
Adilabad,Bheempoor,06-01-2020,0,10.2,26.4,50.9,97.6,2.9,0,1,2020
Adilabad,Bheempoor,07-01-2020,0,14.3,28,44.6,96.2,1.2,0,1,2020
Adilabad,Bheempoor,08-01-2020,0,18.8,28.5,55.9,94.9,0.8,0,1,2020
Adilabad,Bheempoor,09-01-2020,4.5,20,29.8,60.8,97.4,2.9,0,1,2020
Adilabad,Bheempoor,10-01-2020,0,11.5,24.3,88.1,96,1.4,0,1,2020
Adilabad,Bheempoor,11-01-2020,0,9.3,24.4,56.5,96,6.5,0,1,2020
Adilabad,Bheempoor,12-01-2020,0,8,25.1,43.3,97.3,5.8,0,1,2020
Adilabad,Bheempoor,13-01-2020,0,8.3,26.9,35.5,97.3,5.1,0,1,2020
Adilabad,Bheempoor,14-01-2020,0,11,29.5,29,93.6,6.2,0,1,2020
Adilabad,Bheempoor,15-01-2020,0,14.2,30.3,39.8,97.1,5.2,0,1,2020
Adilabad,Bheempoor,16-01-2020,0,15.5,31,41.9,93.1,7.5,0,1,2020
Adilabad,Bheempoor,17-01-2020,0,17.3,30.5,43.8,89.7,1.3,0,1,2020
Adilabad,Bheempoor,18-01-2020,0,15.6,28.2,55.7,93.9,1.1,0,1,2020
Adilabad,Bheempoor,19-01-2020,0,15.7,29.9,53.5,96.9,2.2,0,1,2020
Adilabad,Bheempoor,20-01-2020,0,16.3,29.9,55.5,92.7,1.4,0,1,2020
Adilabad,Bheempoor,21-01-2020,0,14.6,28.2,58.9,96.6,1.5,0,1,2020
Adilabad,Bheempoor,22-01-2020,0,17,31.8,47.7,96.2,3.2,0,1,2020
Adilabad,Bheempoor,23-01-2020,0,15.4,31.5,48.4,96,2.9,0,1,2020
Adilabad,Bheempoor,24-01-2020,0,15.4,32.7,34,96.2,1.4,0,1,2020
Adilabad,Bheempoor,25-01-2020,0,14.9,31,38,94.9,1.9,0,1,2020
Adilabad,Bheempoor,26-01-2020,0,14,31.6,40.9,83.1,1.5,0,1,2020
Adilabad,Bheempoor,27-01-2020,0,12.5,30.6,39.1,90.9,5,0,1,2020
Adilabad,Bheempoor,28-01-2020,0,20.5,34.6,30,75.3,6.3,0,1,2020
Adilabad,Bheempoor,29-01-2020,0,17,32.4,36.3,84.3,5.8,0,1,2020
Adilabad,Bheempoor,30-01-2020,0,13.1,30.3,42,94.9,1.4,0,1,2020
Adilabad,Bheempoor,31-01-2020,0,9.7,29.2,38.9,93.3,2.3,0,1,2020
Adilabad,Bheempoor,01-02-2020,0,14.8,29.2,35.6,87.2,1.5,0,2,2020
Adilabad,Bheempoor,02-02-2020,0,14.7,29.1,46.5,84.4,2.7,0,2,2020
Adilabad,Bheempoor,03-02-2020,0,18.5,28.6,50.5,84.8,2.1,0,2,2020
Adilabad,Bheempoor,04-02-2020,0,16.9,31.1,46,94.5,2,0,2,2020
Adilabad,Bheempoor,05-02-2020,0,18.4,32.1,39.1,94.2,4.5,0,2,2020
Adilabad,Bheempoor,06-02-2020,0,16.6,29.6,59.2,91.3,1.9,0,2,2020
Adilabad,Bheempoor,07-02-2020,0,16.7,31.5,46.6,93.8,1.2,0,2,2020
Adilabad,Bheempoor,08-02-2020,0,19.3,30.1,57,90.7,1.5,0,2,2020
Adilabad,Bheempoor,09-02-2020,0,15.3,24.8,67,94.6,1.8,0,2,2020
Adilabad,Bheempoor,10-02-2020,0,12.7,27.6,55.3,95.3,2.2,0,2,2020
Adilabad,Bheempoor,11-02-2020,0,14,29,52.9,91.5,1.8,0,2,2020
Adilabad,Bheempoor,12-02-2020,0,15.2,31.4,44.2,91.3,3,0,2,2020
Adilabad,Bheempoor,13-02-2020,0,12.4,31.5,36.3,93.3,2.8,0,2,2020
Adilabad,Bheempoor,14-02-2020,0,14.5,32.9,29.7,86.4,1.7,0,2,2020
